POINT (-74.00374914839144 40.72487824372929),432193,11/05/2015 12:00:00 AM +0000,101337,10,0,OnCurb,Alive,Poor,Fraxinus pennsylvanica,Green Ash,None,None,NoDamage,TreesCount Staff,No,No,No,No,No,No,No,No,No,83 SULLIVAN STREET,10012,New York,102,1,Manhattan,3,66,26,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1004700,New York,40.7248782437,-74.0037491484,983210.820964,203369.259978,
POINT (-73.99556869377635 40.73419024698468),30418,06/22/2015 12:00:00 AM +0000,101956,13,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,12 WEST  11 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.734190247,-73.9955686938,985478.086115,206761.921828,
POINT (-73.99579488693914 40.73428520592752),30419,06/22/2015 12:00:00 AM +0000,101956,12,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,16 WEST  11 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.7342852059,-73.9957948869,985415.397592,206796.515262,
POINT (-73.99494513520942 40.73486951856174),73174,07/16/2015 12:00:00 AM +0000,102037,16,0,OnCurb,Alive,Good,Fraxinus,Ash,None,Harmful,Damage,Volunteer,No,No,No,No,No,No,No,No,No,1 WEST  12 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.7348695186,-73.9949451352,985650.883997,207009.411162,
POINT (-73.9951657196813 40.73496311961871),73173,07/16/2015 12:00:00 AM +0000,102037,18,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,None,Harmful,Damage,Volunteer,Yes,No,No,No,No,No,No,No,No,11 WEST  12 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.7349631196,-73.9951657197,985589.750261,207043.509519,
POINT (-73.99656054569326 40.73544320344507),73358,07/16/2015 12:00:00 AM +0000,101999,12,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,None,Helpful,Damage,Volunteer,No,No,No,No,No,No,No,No,No,56 WEST  12 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.7354432034,-73.9965605457,985203.187714,207218.400902,
POINT (-73.99703544730328 40.735644133449114),73363,07/16/2015 12:00:00 AM +0000,101999,10,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,None,Helpful,NoDamage,Volunteer,No,No,No,No,No,No,No,No,No,66 WEST  12 STREET,10011,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006300,New York,40.7356441334,-73.9970354473,985071.574132,207291.601215,
POINT (-74.0020380691539 40.73017220508021),33921,06/24/2015 12:00:00 AM +0000,101681,5,0,OnCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,None,NoDamage,TreesCount Staff,No,No,No,No,No,Yes,No,No,Yes,290 AVENUE OF THE AMERICAS,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7301722051,-74.0020380692,983685.138257,205297.998903,
POINT (-74.00530428069202 40.73019148529324),13178,06/08/2015 12:00:00 AM +0000,102267,14,0,OffsetFromCurb,Alive,Fair,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,Volunteer,Yes,Yes,No,No,No,Yes,No,No,Yes,17 ST LUKES PLACE,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7301914853,-74.0053042807,982779.890724,205305.061224,
POINT (-74.00201361767081 40.730214997673016),33920,06/24/2015 12:00:00 AM +0000,101681,6,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,NoDamage,TreesCount Staff,No,No,No,No,No,No,No,No,No,290 AVENUE OF THE AMERICAS,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7302149977,-74.0020136177,983691.915474,205313.589423,
POINT (-74.0019891661564 40.7302577911609),33919,06/24/2015 12:00:00 AM +0000,101681,5,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,TreesCount Staff,No,No,No,No,No,No,No,No,No,290 AVENUE OF THE AMERICAS,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7302577912,-74.0019891662,983698.692692,205329.180271,
POINT (-74.00195435965495 40.73031870935333),33918,06/24/2015 12:00:00 AM +0000,101681,4,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,NoDamage,TreesCount Staff,No,No,No,No,No,No,No,No,No,7 CARMINE STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7303187094,-74.0019543597,983708.339982,205351.374452,
POINT (-74.00192962042622 40.73036200531656),33917,06/24/2015 12:00:00 AM +0000,101681,5,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,TreesCount Staff,No,No,No,No,No,No,No,No,No,5 CARMINE STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006700,New York,40.7303620053,-74.0019296204,983715.196924,205367.148371,
POINT (-74.01034096485527 40.73014768369007),236664,09/18/2015 12:00:00 AM +0000,101675,9,0,OnCurb,Alive,Good,Fraxinus,Ash,None,None,NoDamage,Volunteer,No,No,Yes,No,No,No,No,No,No,357 WEST STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006900,New York,40.7301476837,-74.0103409649,981383.945353,205289.227595,
POINT (-74.00687779476532 40.73173884826697),292792,10/07/2015 12:00:00 AM +0000,101873,17,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,Green Ash,1or2,None,Damage,Volunteer,No,No,No,No,No,No,No,No,No,91 BARROW STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006900,New York,40.7317388483,-74.0068777948,982343.827291,205868.844218,
POINT (-74.00704648968419 40.73290588680427),302678,10/09/2015 12:00:00 AM +0000,101875,10,0,OnCurb,Alive,Fair,Fraxinus,Ash,1or2,Harmful,Damage,NYC Parks Staff,No,No,Yes,No,No,Yes,No,No,No,493 HUDSON STREET,10014,New York,102,1,Manhattan,3,66,27,MN23,West Village,1006900,New York,40.7329058868,-74.0070464897,982297.107896,206294.036609,
